video_id,stat_date,likes,comments,shares,views,estimated_minutes_watched
vid001,2026-06-01,312,27,16,8748,33119.9
vid001,2026-06-02,323,28,17,9065,34320.1
vid001,2026-06-03,335,29,18,9388,35543
vid001,2026-06-04,347,30,18,9716,36784.8
vid001,2026-06-05,358,31,19,10048,38041.7
vid001,2026-06-06,370,32,19,10386,39321.4
vid001,2026-06-07,383,33,20,10729,40620
vid001,2026-06-08,395,34,21,11076,41933.7
vid001,2026-06-09,408,35,21,11429,43270.2
vid001,2026-06-10,420,36,22,11787,44625.6
vid001,2026-06-11,433,37,23,12150,45999.9
vid001,2026-06-12,447,39,24,12518,47393.1
vid001,2026-06-13,460,40,24,12891,48805.3
vid001,2026-06-14,473,41,25,13269,50236.4
vid001,2026-06-15,487,42,26,13652,51686.5
vid001,2026-06-16,496,43,26,13897,52614
vid001,2026-06-17,505,44,27,14142,53541.6
vid001,2026-06-18,513,44,27,14387,54469.2
vid001,2026-06-19,522,45,28,14633,55400.5
vid001,2026-06-20,531,46,28,14878,56328.1
vid001,2026-06-21,540,47,29,15123,57255.7
vid001,2026-06-22,548,48,29,15369,58187
vid001,2026-06-23,557,48,30,15614,59114.6
vid001,2026-06-24,566,49,30,15859,60042.2
vid001,2026-06-25,575,50,30,16104,60969.7
vid001,2026-06-26,583,51,31,16350,61901.1
vid001,2026-06-27,592,51,31,16595,62828.7
vid001,2026-06-28,601,52,32,16840,63756.2
vid001,2026-06-29,610,53,32,17086,64687.6
vid001,2026-06-30,618,54,33,17331,65615.2
vid001,2026-07-01,627,54,33,17576,66542.7
vid001,2026-07-02,636,55,34,17821,67470.3
vid002,2026-06-05,551,9,63,26486,25638.4
vid002,2026-06-06,568,9,64,27290,26416.7
vid002,2026-06-07,585,10,66,28105,27205.6
vid002,2026-06-08,602,10,68,28931,28005.2
vid002,2026-06-09,620,10,70,29769,28816.4
vid002,2026-06-10,637,10,72,30619,29639.2
vid002,2026-06-11,655,11,74,31480,30472.6
vid002,2026-06-12,674,11,77,32353,31317.7
vid002,2026-06-13,692,11,79,33237,32173.4
vid002,2026-06-14,711,12,81,34133,33040.7
vid002,2026-06-15,730,12,83,35040,33918.7
vid002,2026-06-16,749,12,85,35959,34808.3
vid002,2026-06-17,768,13,87,36889,35708.6
vid002,2026-06-18,788,13,90,37831,36620.4
vid002,2026-06-19,808,13,92,38785,37543.9
vid002,2026-06-20,819,14,93,39345,38086
vid002,2026-06-21,831,14,95,39906,38629
vid002,2026-06-22,843,14,96,40467,39172.1
vid002,2026-06-23,854,14,97,41027,39714.1
vid002,2026-06-24,866,14,99,41588,40257.2
vid002,2026-06-25,878,15,100,42148,40799.3
vid002,2026-06-26,889,15,101,42709,41342.3
vid002,2026-06-27,901,15,103,43270,41885.4
vid002,2026-06-28,913,15,104,43830,42427.4
vid002,2026-06-29,924,15,105,44391,42970.5
vid002,2026-06-30,936,16,107,44952,43513.5
vid002,2026-07-01,948,16,108,45512,44055.6
vid002,2026-07-02,959,16,109,46073,44598.7
